data,hora,abertura,maximo,minimo,fechamento_atual,negocios,quantidade_papeis,<SPREAD>
2013/10/25,16:30:00,53340,53380,53320,53350,11360,3028,5
2013/10/25,16:45:00,53345,53395,53270,53305,16910,4428,5
2013/10/25,17:00:00,53305,53315,53120,53175,27310,7402,5
2013/10/25,17:15:00,53175,53275,53155,53225,10190,2772,5
2013/10/25,17:30:00,53230,53270,53185,53230,7080,2119,5
2013/10/25,17:45:00,53230,53485,53225,53420,15980,6361,5
2013/10/28,09:00:00,53500,53630,53410,53625,11090,2934,5
2013/10/28,09:15:00,53610,53620,53480,53495,7900,1974,5
2013/10/28,09:30:00,53490,53535,53415,53480,12540,3149,5
2013/10/28,09:45:00,53475,53650,53440,53635,14850,3893,5
2013/10/28,10:00:00,53635,53800,53565,53730,31470,8367,5
2013/10/28,10:15:00,53735,53755,53380,53495,31470,8715,5
2013/10/28,10:30:00,53490,53600,53405,53465,23720,6175,5
2013/10/28,10:45:00,53470,53620,53355,53500,23090,5884,5
2013/10/28,11:00:00,53500,53685,53430,53660,23180,5638,5
2013/10/28,11:15:00,53655,53790,53620,53740,24360,6684,5
2013/10/28,11:30:00,53730,53920,53675,53885,33850,8681,5
2013/10/28,11:45:00,53880,53895,53775,53805,19180,5206,5
2013/10/28,12:00:00,53820,53990,53785,53950,23420,6097,5
2013/10/28,12:15:00,53940,54010,53830,53950,20960,5332,5
2013/10/28,12:30:00,53950,54080,53910,54030,27730,7227,5
2013/10/28,12:45:00,54025,54040,53830,53885,25090,6239,5
2013/10/28,13:00:00,53890,53910,53735,53820,19740,4951,5
2013/10/28,13:15:00,53825,54055,53820,54025,22630,5792,5
2013/10/28,13:30:00,54025,54140,53985,53985,22180,5509,5
2013/10/28,13:45:00,53985,54085,53980,54065,14160,3202,5
2013/10/28,14:00:00,54065,54140,54025,54115,14730,3428,5
2013/10/28,14:15:00,54125,54170,54010,54070,18650,4599,5
2013/10/28,14:30:00,54080,54180,54055,54100,15190,3627,5
2013/10/28,14:45:00,54090,54220,54085,54200,16390,4002,5
2013/10/28,15:00:00,54200,54225,54150,54195,11830,2797,5
2013/10/28,15:15:00,54190,54300,54160,54285,15110,4002,5
2013/10/28,15:30:00,54285,54400,54250,54385,22210,5435,5
2013/10/28,15:45:00,54385,54460,54340,54440,19290,4867,5
2013/10/28,16:00:00,54445,54530,54440,54495,23950,6451,5
2013/10/28,16:15:00,54495,54595,54445,54565,20140,5224,5
2013/10/28,16:30:00,54570,54830,54550,54820,33860,9642,5
2013/10/28,16:45:00,54820,54880,54685,54745,25180,7040,5
2013/10/28,17:00:00,54740,54795,54680,54715,12310,3425,5
2013/10/28,17:15:00,54715,54805,54715,54780,9380,2613,5
2013/10/28,17:30:00,54780,54840,54760,54775,8950,2380,5
2013/10/28,17:45:00,54775,54860,54725,54860,8880,3570,5
2013/10/29,09:00:00,54595,54800,54345,54375,19340,5552,5
2013/10/29,09:15:00,54370,54375,54300,54360,10550,3072,5
2013/10/29,09:30:00,54360,54405,54315,54330,11920,3252,5
2013/10/29,09:45:00,54330,54355,54245,54315,15350,4472,5
2013/10/29,10:00:00,54315,54400,54170,54370,28860,7541,5
2013/10/29,10:15:00,54375,54395,54255,54310,21420,6007,5
2013/10/29,10:30:00,54305,54320,54075,54165,31850,8663,5
2013/10/29,10:45:00,54170,54230,54145,54195,14190,3881,5
2013/10/29,11:00:00,54190,54195,54110,54115,14470,3410,5
2013/10/29,11:15:00,54125,54330,54110,54270,23230,5825,5
2013/10/29,11:30:00,54275,54365,54215,54270,23340,5275,5
2013/10/29,11:45:00,54270,54285,53940,53970,36860,8816,5
2013/10/29,12:00:00,53970,54030,53855,53960,34030,8420,5
2013/10/29,12:15:00,53960,54040,53905,54025,21310,5301,5
2013/10/29,12:30:00,54035,54050,53855,53890,23920,5848,5
2013/10/29,12:45:00,53885,54140,53860,54025,32680,7913,5
2013/10/29,13:00:00,54020,54140,53955,53980,19760,4908,5
2013/10/29,13:15:00,53970,53980,53880,53920,12090,2996,5
2013/10/29,13:30:00,53920,53950,53780,53790,16450,3890,5
2013/10/29,13:45:00,53790,53875,53765,53850,13700,3249,5
2013/10/29,14:00:00,53850,53920,53780,53915,16760,3885,5
2013/10/29,14:15:00,53910,53950,53865,53925,16100,3617,5
2013/10/29,14:30:00,53925,54040,53905,54020,21680,5380,5
2013/10/29,14:45:00,54025,54030,53840,53860,18930,4431,5
2013/10/29,15:00:00,53860,53875,53680,53825,36150,9683,5
2013/10/29,15:15:00,53825,53855,53625,53725,24000,5913,5
2013/10/29,15:30:00,53730,53960,53720,53930,26960,6390,5
2013/10/29,15:45:00,53940,54090,53900,54050,22810,5988,5
2013/10/29,16:00:00,54050,54180,53975,54110,29030,7965,5
2013/10/29,16:15:00,54115,54115,53920,54025,25390,6345,5
2013/10/29,16:30:00,54020,54120,54000,54075,17780,4556,5
2013/10/29,16:45:00,54070,54075,53960,54025,19150,4562,5
2013/10/29,17:00:00,54020,54070,53980,53995,12820,3044,5
2013/10/29,17:15:00,54000,54115,53990,54075,9020,2445,5
2013/10/29,17:30:00,54075,54105,54035,54080,7410,2158,5
2013/10/29,17:45:00,54065,54120,54055,54080,8830,2990,5
2013/10/30,09:00:00,54195,54325,54180,54245,11150,3217,5
2013/10/30,09:15:00,54240,54300,54230,54300,5360,1405,5
2013/10/30,09:30:00,54300,54320,54235,54295,8490,2356,5
2013/10/30,09:45:00,54300,54345,54140,54240,14680,3844,5
2013/10/30,10:00:00,54240,54275,54115,54165,17990,4953,5
2013/10/30,10:15:00,54155,54245,54110,54200,16500,4022,5
2013/10/30,10:30:00,54200,54300,54110,54130,29300,7383,5
2013/10/30,10:45:00,54140,54185,53910,53925,37930,9413,5
2013/10/30,11:00:00,53925,53985,53780,53810,31530,7849,5
2013/10/30,11:15:00,53800,53890,53795,53850,16240,4062,5
2013/10/30,11:30:00,53850,53975,53775,53825,34980,8574,5
2013/10/30,11:45:00,53820,53870,53715,53860,30090,7349,5
2013/10/30,12:00:00,53850,53920,53770,53830,20390,4813,5
2013/10/30,12:15:00,53825,53895,53795,53880,10160,2292,5
2013/10/30,12:30:00,53880,54040,53800,54040,30310,7637,5
2013/10/30,12:45:00,54040,54140,53975,54115,30610,8214,5
2013/10/30,13:00:00,54110,54185,54085,54120,21320,5673,5
2013/10/30,13:15:00,54120,54175,54040,54110,19600,4962,5
2013/10/30,13:30:00,54115,54210,54060,54125,21380,5153,5
2013/10/30,13:45:00,54125,54125,53895,53960,28000,7303,5
2013/10/30,14:00:00,53965,54030,53920,54020,16070,4299,5
2013/10/30,14:15:00,54020,54075,53900,54065,16420,3765,5
2013/10/30,14:30:00,54070,54155,54055,54090,17510,4651,5
2013/10/30,14:45:00,54095,54480,54085,54425,33980,9422,5
2013/10/30,15:00:00,54425,54450,54345,54395,15540,3990,5
2013/10/30,15:15:00,54400,54415,54215,54240,18910,4582,5
2013/10/30,15:30:00,54230,54320,54130,54185,22980,5731,5
2013/10/30,15:45:00,54180,54285,54055,54100,17480,4218,5
2013/10/30,16:00:00,54115,54335,53965,54020,70300,15815,5
2013/10/30,16:15:00,54025,54030,53760,53795,59630,15080,5
2013/10/30,16:30:00,53800,53935,53645,53775,54390,14446,5
2013/10/30,16:45:00,53785,54120,53785,54030,49400,13229,5
2013/10/30,17:00:00,54020,54220,54010,54090,29050,7260,5
2013/10/30,17:15:00,54090,54125,53925,54055,16560,4586,5
2013/10/30,17:30:00,54060,54215,54050,54185,9890,2676,5
2013/10/30,17:45:00,54185,54290,54160,54290,7840,2639,5
2013/10/31,09:00:00,53900,54100,53865,53910,10720,2984,5
2013/10/31,09:15:00,53905,53910,53715,53800,11930,3369,5
2013/10/31,09:30:00,53800,53850,53750,53830,6820,1725,5
2013/10/31,09:45:00,53830,53880,53805,53835,8050,2066,5
2013/10/31,10:00:00,53840,54155,53825,54050,30500,8201,5
2013/10/31,10:15:00,54045,54105,53975,54055,14730,3479,5
2013/10/31,10:30:00,54070,54285,54035,54255,32080,7429,5
2013/10/31,10:45:00,54260,54330,54185,54265,23220,5367,5
2013/10/31,11:00:00,54270,54380,54145,54240,34570,8071,5
2013/10/31,11:15:00,54245,54585,54230,54515,49420,11941,5
2013/10/31,11:30:00,54520,54740,54505,54600,42570,10130,5
2013/10/31,11:45:00,54595,54635,54320,54340,36970,9215,5
2013/10/31,12:00:00,54345,54355,53820,53975,66270,16034,5
2013/10/31,12:15:00,53970,54030,53830,53990,31210,7879,5
2013/10/31,12:30:00,53990,54075,53880,54025,27170,6643,5
2013/10/31,12:45:00,54015,54120,53965,54055,20770,5356,5
2013/10/31,13:00:00,54065,54110,53965,54020,12530,2997,5
2013/10/31,13:15:00,53995,54090,53920,53980,14860,3640,5
2013/10/31,13:30:00,53980,54105,53935,54095,14540,3599,5
2013/10/31,13:45:00,54095,54245,54070,54160,27970,7170,5
2013/10/31,14:00:00,54160,54275,54140,54235,20890,5166,5
2013/10/31,14:15:00,54235,54305,54205,54240,19290,4444,5
2013/10/31,14:30:00,54245,54375,54240,54285,19680,4673,5
2013/10/31,14:45:00,54285,54295,54115,54165,25020,6236,5
2013/10/31,15:00:00,54165,54295,54150,54255,26320,6313,5
2013/10/31,15:15:00,54255,54415,54230,54385,26970,6953,5
